,Total pp
2019-03-01 00:00:00,0.0
2019-03-01 01:00:00,0.0
2019-03-01 02:00:00,0.0
2019-03-01 03:00:00,0.0
2019-03-01 04:00:00,0.0
2019-03-01 05:00:00,0.0
2019-03-01 06:00:00,0.5
2019-03-01 07:00:00,249.5
2019-03-01 08:00:00,1171.5
2019-03-01 09:00:00,2704.25
2019-03-01 10:00:00,4077.0
2019-03-01 11:00:00,4916.75
2019-03-01 12:00:00,5038.25
2019-03-01 13:00:00,4680.5
2019-03-01 14:00:00,4182.0
2019-03-01 15:00:00,3103.0
2019-03-01 16:00:00,1496.5
2019-03-01 17:00:00,253.5
2019-03-01 18:00:00,0.5
2019-03-01 19:00:00,0.0
2019-03-01 20:00:00,0.0
2019-03-01 21:00:00,0.0
2019-03-01 22:00:00,0.0
2019-03-01 23:00:00,0.0
2019-03-02 00:00:00,0.0
2019-03-02 01:00:00,0.0
2019-03-02 02:00:00,0.0
2019-03-02 03:00:00,0.0
2019-03-02 04:00:00,0.0
2019-03-02 05:00:00,0.0
2019-03-02 06:00:00,1.0
2019-03-02 07:00:00,303.25
2019-03-02 08:00:00,1256.0
2019-03-02 09:00:00,2654.75
2019-03-02 10:00:00,3873.75
2019-03-02 11:00:00,4777.25
2019-03-02 12:00:00,5459.0
2019-03-02 13:00:00,5573.5
2019-03-02 14:00:00,5054.25
2019-03-02 15:00:00,3869.25
2019-03-02 16:00:00,1994.75
2019-03-02 17:00:00,392.0
2019-03-02 18:00:00,1.75
2019-03-02 19:00:00,0.0
2019-03-02 20:00:00,0.0
2019-03-02 21:00:00,0.0
2019-03-02 22:00:00,0.0
2019-03-02 23:00:00,0.0
2019-03-03 00:00:00,0.0
2019-03-03 01:00:00,0.0
2019-03-03 02:00:00,0.0
2019-03-03 03:00:00,0.0
2019-03-03 04:00:00,0.0
2019-03-03 05:00:00,0.0
2019-03-03 06:00:00,1.75
2019-03-03 07:00:00,647.75
2019-03-03 08:00:00,2786.0
2019-03-03 09:00:00,5044.75
2019-03-03 10:00:00,6968.0
2019-03-03 11:00:00,7580.25
2019-03-03 12:00:00,7401.5
2019-03-03 13:00:00,6822.0
2019-03-03 14:00:00,5538.5
2019-03-03 15:00:00,3773.5
2019-03-03 16:00:00,1777.25
2019-03-03 17:00:00,316.25
2019-03-03 18:00:00,1.0
2019-03-03 19:00:00,0.0
2019-03-03 20:00:00,0.0
2019-03-03 21:00:00,0.0
2019-03-03 22:00:00,0.0
2019-03-03 23:00:00,0.0
2019-03-04 00:00:00,0.0
2019-03-04 01:00:00,0.0
2019-03-04 02:00:00,0.0
2019-03-04 03:00:00,0.0
2019-03-04 04:00:00,0.0
2019-03-04 05:00:00,0.0
2019-03-04 06:00:00,4.5
2019-03-04 07:00:00,789.25
2019-03-04 08:00:00,3484.75
2019-03-04 09:00:00,6804.75
2019-03-04 10:00:00,8954.75
2019-03-04 11:00:00,9568.75
2019-03-04 12:00:00,8615.5
2019-03-04 13:00:00,7494.0
2019-03-04 14:00:00,6287.5
2019-03-04 15:00:00,4835.5
2019-03-04 16:00:00,2797.75
2019-03-04 17:00:00,693.75
2019-03-04 18:00:00,4.0
2019-03-04 19:00:00,0.0
2019-03-04 20:00:00,0.0
2019-03-04 21:00:00,0.0
2019-03-04 22:00:00,0.0
2019-03-04 23:00:00,0.0
2019-03-05 00:00:00,0.0
2019-03-05 01:00:00,0.0
2019-03-05 02:00:00,0.0
2019-03-05 03:00:00,0.0
2019-03-05 04:00:00,0.0
2019-03-05 05:00:00,0.0
2019-03-05 06:00:00,5.5
2019-03-05 07:00:00,904.5
2019-03-05 08:00:00,4007.5
2019-03-05 09:00:00,7278.75
2019-03-05 10:00:00,9299.25
2019-03-05 11:00:00,10614.0
2019-03-05 12:00:00,10627.25
2019-03-05 13:00:00,9316.25
2019-03-05 14:00:00,8051.5
2019-03-05 15:00:00,6030.5
2019-03-05 16:00:00,3170.25
2019-03-05 17:00:00,714.25
2019-03-05 18:00:00,3.75
2019-03-05 19:00:00,0.0
2019-03-05 20:00:00,0.0
