,Total pp
2019-03-01 00:00:00,1672.25
2019-03-01 01:00:00,0.0
2019-03-01 02:00:00,1677.25
2019-03-01 03:00:00,0.0
2019-03-01 04:00:00,1696.75
2019-03-01 05:00:00,0.0
2019-03-01 06:00:00,1726.25
2019-03-01 07:00:00,0.0
2019-03-01 08:00:00,1763.5
2019-03-01 09:00:00,0.0
2019-03-01 10:00:00,1815.5
2019-03-01 11:00:00,0.0
2019-03-01 12:00:00,1792.75
2019-03-01 13:00:00,0.0
2019-03-01 14:00:00,1817.0
2019-03-01 15:00:00,0.0
2019-03-01 16:00:00,1820.5
2019-03-01 17:00:00,0.0
2019-03-01 18:00:00,1942.75
2019-03-01 19:00:00,0.0
2019-03-01 20:00:00,1850.25
2019-03-01 21:00:00,0.0
2019-03-01 22:00:00,1848.5
2019-03-01 23:00:00,0.0
2019-03-02 00:00:00,1866.0
2019-03-02 01:00:00,0.0
2019-03-02 02:00:00,1900.25
2019-03-02 03:00:00,0.0
2019-03-02 04:00:00,1880.5
2019-03-02 05:00:00,0.0
2019-03-02 06:00:00,1899.0
2019-03-02 07:00:00,0.0
2019-03-02 08:00:00,1960.75
2019-03-02 09:00:00,0.0
2019-03-02 10:00:00,1910.5
2019-03-02 11:00:00,0.0
2019-03-02 12:00:00,1909.75
2019-03-02 13:00:00,0.0
2019-03-02 14:00:00,1946.0
2019-03-02 15:00:00,0.0
2019-03-02 16:00:00,1860.0
2019-03-02 17:00:00,0.0
2019-03-02 18:00:00,1817.25
2019-03-02 19:00:00,0.0
2019-03-02 20:00:00,1779.5
2019-03-02 21:00:00,0.0
2019-03-02 22:00:00,1785.75
2019-03-02 23:00:00,0.0
2019-03-03 00:00:00,1754.25
2019-03-03 01:00:00,0.0
2019-03-03 02:00:00,1769.75
2019-03-03 03:00:00,0.0
2019-03-03 04:00:00,1740.0
2019-03-03 05:00:00,0.0
2019-03-03 06:00:00,1692.5
2019-03-03 07:00:00,0.0
2019-03-03 08:00:00,1579.75
2019-03-03 09:00:00,0.0
2019-03-03 10:00:00,1594.75
2019-03-03 11:00:00,0.0
2019-03-03 12:00:00,1540.25
2019-03-03 13:00:00,0.0
2019-03-03 14:00:00,1569.25
2019-03-03 15:00:00,0.0
2019-03-03 16:00:00,1563.25
2019-03-03 17:00:00,0.0
2019-03-03 18:00:00,1623.5
2019-03-03 19:00:00,0.0
2019-03-03 20:00:00,1589.25
2019-03-03 21:00:00,0.0
2019-03-03 22:00:00,1593.5
2019-03-03 23:00:00,0.0
2019-03-04 00:00:00,1574.75
2019-03-04 01:00:00,0.0
2019-03-04 02:00:00,1651.0
2019-03-04 03:00:00,0.0
2019-03-04 04:00:00,1716.5
2019-03-04 05:00:00,0.0
2019-03-04 06:00:00,1671.25
2019-03-04 07:00:00,0.0
2019-03-04 08:00:00,1677.5
2019-03-04 09:00:00,0.0
2019-03-04 10:00:00,1626.75
2019-03-04 11:00:00,0.0
2019-03-04 12:00:00,1837.25
2019-03-04 13:00:00,0.0
2019-03-04 14:00:00,1668.5
2019-03-04 15:00:00,0.0
2019-03-04 16:00:00,1685.0
2019-03-04 17:00:00,0.0
2019-03-04 18:00:00,1790.5
2019-03-04 19:00:00,0.0
2019-03-04 20:00:00,1785.75
2019-03-04 21:00:00,0.0
2019-03-04 22:00:00,1745.25
2019-03-04 23:00:00,0.0
2019-03-05 00:00:00,1748.5
2019-03-05 01:00:00,0.0
2019-03-05 02:00:00,1755.75
2019-03-05 03:00:00,0.0
2019-03-05 04:00:00,1739.5
2019-03-05 05:00:00,0.0
2019-03-05 06:00:00,1761.0
2019-03-05 07:00:00,0.0
2019-03-05 08:00:00,1701.5
2019-03-05 09:00:00,0.0
2019-03-05 10:00:00,1754.75
2019-03-05 11:00:00,0.0
2019-03-05 12:00:00,1736.5
2019-03-05 13:00:00,0.0
2019-03-05 14:00:00,1709.25
2019-03-05 15:00:00,0.0
2019-03-05 16:00:00,1843.75
2019-03-05 17:00:00,0.0
2019-03-05 18:00:00,1822.25
2019-03-05 19:00:00,0.0
2019-03-05 20:00:00,1758.25
2019-03-05 21:00:00,0.0
2019-03-05 22:00:00,1742.25
2019-03-05 23:00:00,0.0
2019-03-06 00:00:00,1728.75
2019-03-06 01:00:00,0.0
2019-03-06 02:00:00,1814.75
2019-03-06 03:00:00,0.0
2019-03-06 04:00:00,1791.25
2019-03-06 05:00:00,0.0
2019-03-06 06:00:00,1718.0
2019-03-06 07:00:00,0.0
2019-03-06 08:00:00,1736.0
2019-03-06 09:00:00,0.0
2019-03-06 10:00:00,1716.5
2019-03-06 11:00:00,0.0
2019-03-06 12:00:00,1750.5
2019-03-06 13:00:00,0.0
2019-03-06 14:00:00,1770.75
2019-03-06 15:00:00,0.0
2019-03-06 16:00:00,1755.75
2019-03-06 17:00:00,0.0
2019-03-06 18:00:00,1749.0
2019-03-06 19:00:00,0.0
2019-03-06 20:00:00,1715.0
2019-03-06 21:00:00,0.0
2019-03-06 22:00:00,1682.5
2019-03-06 23:00:00,0.0
2019-03-07 00:00:00,1707.0
2019-03-07 01:00:00,0.0
2019-03-07 02:00:00,1665.25
2019-03-07 03:00:00,0.0
2019-03-07 04:00:00,1643.75
2019-03-07 05:00:00,0.0
2019-03-07 06:00:00,1701.5
2019-03-07 07:00:00,0.0
2019-03-07 08:00:00,1686.75
2019-03-07 09:00:00,0.0
2019-03-07 10:00:00,1753.5
2019-03-07 11:00:00,0.0
2019-03-07 12:00:00,1759.0
2019-03-07 13:00:00,0.0
2019-03-07 14:00:00,1743.25
2019-03-07 15:00:00,0.0
2019-03-07 16:00:00,1775.25
2019-03-07 17:00:00,0.0
2019-03-07 18:00:00,1858.5
2019-03-07 19:00:00,0.0
2019-03-07 20:00:00,1777.5
2019-03-07 21:00:00,0.0
2019-03-07 22:00:00,1763.25
2019-03-07 23:00:00,0.0
2019-03-08 00:00:00,1813.0
2019-03-08 01:00:00,0.0
2019-03-08 02:00:00,1743.5
2019-03-08 03:00:00,0.0
2019-03-08 04:00:00,1805.0
2019-03-08 05:00:00,0.0
2019-03-08 06:00:00,1867.5
2019-03-08 07:00:00,0.0
2019-03-08 08:00:00,1902.5
2019-03-08 09:00:00,0.0
2019-03-08 10:00:00,1883.0
2019-03-08 11:00:00,0.0
2019-03-08 12:00:00,1895.5
2019-03-08 13:00:00,0.0
2019-03-08 14:00:00,1864.5
2019-03-08 15:00:00,0.0
2019-03-08 16:00:00,1888.0
2019-03-08 17:00:00,0.0
2019-03-08 18:00:00,2006.5
2019-03-08 19:00:00,0.0
2019-03-08 20:00:00,1867.75
2019-03-08 21:00:00,0.0
2019-03-08 22:00:00,1820.5
2019-03-08 23:00:00,0.0
2019-03-09 00:00:00,1820.25
2019-03-09 01:00:00,0.0
2019-03-09 02:00:00,1814.5
2019-03-09 03:00:00,0.0
2019-03-09 04:00:00,1717.25
2019-03-09 05:00:00,0.0
2019-03-09 06:00:00,1771.25
2019-03-09 07:00:00,0.0
2019-03-09 08:00:00,1765.0
