,Total pp
2019-03-01 00:00:00,9233.75
2019-03-01 01:00:00,0.0
2019-03-01 02:00:00,8115.25
2019-03-01 03:00:00,0.0
2019-03-01 04:00:00,7395.5
2019-03-01 05:00:00,0.0
2019-03-01 06:00:00,6979.25
2019-03-01 07:00:00,0.0
2019-03-01 08:00:00,6735.0
2019-03-01 09:00:00,0.0
2019-03-01 10:00:00,6669.75
2019-03-01 11:00:00,0.0
2019-03-01 12:00:00,8590.0
2019-03-01 13:00:00,0.0
2019-03-01 14:00:00,9089.5
2019-03-01 15:00:00,0.0
2019-03-01 16:00:00,7887.0
2019-03-01 17:00:00,0.0
2019-03-01 18:00:00,7390.75
2019-03-01 19:00:00,0.0
2019-03-01 20:00:00,6091.25
2019-03-01 21:00:00,0.0
2019-03-01 22:00:00,5324.0
2019-03-01 23:00:00,0.0
2019-03-02 00:00:00,5010.75
2019-03-02 01:00:00,0.0
2019-03-02 02:00:00,4816.5
2019-03-02 03:00:00,0.0
2019-03-02 04:00:00,4745.75
2019-03-02 05:00:00,0.0
2019-03-02 06:00:00,4938.5
2019-03-02 07:00:00,0.0
2019-03-02 08:00:00,4503.0
2019-03-02 09:00:00,0.0
2019-03-02 10:00:00,4316.0
2019-03-02 11:00:00,0.0
2019-03-02 12:00:00,4758.0
2019-03-02 13:00:00,0.0
2019-03-02 14:00:00,5726.5
2019-03-02 15:00:00,0.0
2019-03-02 16:00:00,6727.5
2019-03-02 17:00:00,0.0
2019-03-02 18:00:00,10566.75
2019-03-02 19:00:00,0.0
2019-03-02 20:00:00,16952.5
2019-03-02 21:00:00,0.0
2019-03-02 22:00:00,20627.5
2019-03-02 23:00:00,0.0
2019-03-03 00:00:00,24134.25
2019-03-03 01:00:00,0.0
2019-03-03 02:00:00,26782.75
2019-03-03 03:00:00,0.0
2019-03-03 04:00:00,28734.25
2019-03-03 05:00:00,0.0
2019-03-03 06:00:00,31808.0
2019-03-03 07:00:00,0.0
2019-03-03 08:00:00,32803.0
2019-03-03 09:00:00,0.0
2019-03-03 10:00:00,32354.75
2019-03-03 11:00:00,0.0
2019-03-03 12:00:00,31667.25
2019-03-03 13:00:00,0.0
2019-03-03 14:00:00,29212.75
2019-03-03 15:00:00,0.0
2019-03-03 16:00:00,28803.75
2019-03-03 17:00:00,0.0
2019-03-03 18:00:00,29909.5
2019-03-03 19:00:00,0.0
2019-03-03 20:00:00,33254.0
2019-03-03 21:00:00,0.0
2019-03-03 22:00:00,32525.0
2019-03-03 23:00:00,0.0
2019-03-04 00:00:00,31671.5
2019-03-04 01:00:00,0.0
2019-03-04 02:00:00,31890.75
2019-03-04 03:00:00,0.0
2019-03-04 04:00:00,30796.5
2019-03-04 05:00:00,0.0
2019-03-04 06:00:00,33891.5
2019-03-04 07:00:00,0.0
2019-03-04 08:00:00,35608.75
2019-03-04 09:00:00,0.0
2019-03-04 10:00:00,37054.0
2019-03-04 11:00:00,0.0
2019-03-04 12:00:00,38045.75
2019-03-04 13:00:00,0.0
2019-03-04 14:00:00,38235.0
2019-03-04 15:00:00,0.0
2019-03-04 16:00:00,37333.75
2019-03-04 17:00:00,0.0
2019-03-04 18:00:00,36864.0
2019-03-04 19:00:00,0.0
2019-03-04 20:00:00,36674.75
2019-03-04 21:00:00,0.0
2019-03-04 22:00:00,35748.5
2019-03-04 23:00:00,0.0
2019-03-05 00:00:00,35119.75
2019-03-05 01:00:00,0.0
2019-03-05 02:00:00,34664.0
2019-03-05 03:00:00,0.0
2019-03-05 04:00:00,34152.25
2019-03-05 05:00:00,0.0
2019-03-05 06:00:00,34061.5
2019-03-05 07:00:00,0.0
2019-03-05 08:00:00,33641.75
2019-03-05 09:00:00,0.0
2019-03-05 10:00:00,33686.5
2019-03-05 11:00:00,0.0
2019-03-05 12:00:00,31321.75
2019-03-05 13:00:00,0.0
2019-03-05 14:00:00,28703.25
2019-03-05 15:00:00,0.0
2019-03-05 16:00:00,23997.25
2019-03-05 17:00:00,0.0
2019-03-05 18:00:00,17089.5
2019-03-05 19:00:00,0.0
2019-03-05 20:00:00,17094.25
2019-03-05 21:00:00,0.0
2019-03-05 22:00:00,15662.25
2019-03-05 23:00:00,0.0
2019-03-06 00:00:00,14774.25
2019-03-06 01:00:00,0.0
2019-03-06 02:00:00,14028.25
2019-03-06 03:00:00,0.0
2019-03-06 04:00:00,13857.75
2019-03-06 05:00:00,0.0
2019-03-06 06:00:00,16138.5
2019-03-06 07:00:00,0.0
2019-03-06 08:00:00,17637.0
2019-03-06 09:00:00,0.0
2019-03-06 10:00:00,16659.5
2019-03-06 11:00:00,0.0
2019-03-06 12:00:00,22011.0
2019-03-06 13:00:00,0.0
2019-03-06 14:00:00,23974.5
2019-03-06 15:00:00,0.0
2019-03-06 16:00:00,24525.5
2019-03-06 17:00:00,0.0
2019-03-06 18:00:00,27263.0
2019-03-06 19:00:00,0.0
2019-03-06 20:00:00,26741.25
2019-03-06 21:00:00,0.0
2019-03-06 22:00:00,24668.75
2019-03-06 23:00:00,0.0
2019-03-07 00:00:00,21715.75
2019-03-07 01:00:00,0.0
2019-03-07 02:00:00,20801.0
2019-03-07 03:00:00,0.0
2019-03-07 04:00:00,22549.25
2019-03-07 05:00:00,0.0
2019-03-07 06:00:00,26332.25
2019-03-07 07:00:00,0.0
2019-03-07 08:00:00,30532.75
2019-03-07 09:00:00,0.0
2019-03-07 10:00:00,34585.25
2019-03-07 11:00:00,0.0
2019-03-07 12:00:00,34794.75
2019-03-07 13:00:00,0.0
2019-03-07 14:00:00,34623.0
2019-03-07 15:00:00,0.0
2019-03-07 16:00:00,33162.75
2019-03-07 17:00:00,0.0
2019-03-07 18:00:00,31755.25
2019-03-07 19:00:00,0.0
2019-03-07 20:00:00,34211.75
2019-03-07 21:00:00,0.0
2019-03-07 22:00:00,35757.5
2019-03-07 23:00:00,0.0
2019-03-08 00:00:00,36528.5
2019-03-08 01:00:00,0.0
2019-03-08 02:00:00,36413.75
2019-03-08 03:00:00,0.0
2019-03-08 04:00:00,35739.0
2019-03-08 05:00:00,0.0
2019-03-08 06:00:00,36070.75
2019-03-08 07:00:00,0.0
2019-03-08 08:00:00,35227.5
2019-03-08 09:00:00,0.0
2019-03-08 10:00:00,33066.25
2019-03-08 11:00:00,0.0
2019-03-08 12:00:00,30392.25
2019-03-08 13:00:00,0.0
2019-03-08 14:00:00,26342.0
2019-03-08 15:00:00,0.0
2019-03-08 16:00:00,22198.0
2019-03-08 17:00:00,0.0
2019-03-08 18:00:00,16866.0
2019-03-08 19:00:00,0.0
2019-03-08 20:00:00,17090.0
2019-03-08 21:00:00,0.0
2019-03-08 22:00:00,21124.75
2019-03-08 23:00:00,0.0
2019-03-09 00:00:00,25626.5
2019-03-09 01:00:00,0.0
2019-03-09 02:00:00,29475.25
2019-03-09 03:00:00,0.0
2019-03-09 04:00:00,32741.0
2019-03-09 05:00:00,0.0
2019-03-09 06:00:00,35299.5
2019-03-09 07:00:00,0.0
2019-03-09 08:00:00,37239.25
2019-03-09 09:00:00,0.0
2019-03-09 10:00:00,36372.0
2019-03-09 11:00:00,0.0
2019-03-09 12:00:00,35772.0
2019-03-09 13:00:00,0.0
2019-03-09 14:00:00,34922.25
2019-03-09 15:00:00,0.0
2019-03-09 16:00:00,32514.75
2019-03-09 17:00:00,0.0
2019-03-09 18:00:00,32367.0
2019-03-09 19:00:00,0.0
2019-03-09 20:00:00,35156.0
2019-03-09 21:00:00,0.0
2019-03-09 22:00:00,33302.75
2019-03-09 23:00:00,0.0
2019-03-10 00:00:00,31042.0
2019-03-10 01:00:00,0.0
2019-03-10 02:00:00,26252.5
2019-03-10 03:00:00,0.0
2019-03-10 04:00:00,21990.75
2019-03-10 05:00:00,0.0
2019-03-10 06:00:00,16954.5
2019-03-10 07:00:00,0.0
2019-03-10 08:00:00,14142.75
2019-03-10 09:00:00,0.0
2019-03-10 10:00:00,14774.5
2019-03-10 11:00:00,0.0
2019-03-10 12:00:00,13597.25
2019-03-10 13:00:00,0.0
2019-03-10 14:00:00,13443.5
2019-03-10 15:00:00,0.0
2019-03-10 16:00:00,14805.25
2019-03-10 17:00:00,0.0
2019-03-10 18:00:00,21537.0
2019-03-10 19:00:00,0.0
2019-03-10 20:00:00,25352.75
2019-03-10 21:00:00,0.0
2019-03-10 22:00:00,27349.5
2019-03-10 23:00:00,0.0
2019-03-11 00:00:00,28005.75
2019-03-11 01:00:00,0.0
2019-03-11 02:00:00,27295.25
2019-03-11 03:00:00,0.0
2019-03-11 04:00:00,26524.5
2019-03-11 05:00:00,0.0
2019-03-11 06:00:00,25314.0
2019-03-11 07:00:00,0.0
2019-03-11 08:00:00,24137.25
2019-03-11 09:00:00,0.0
2019-03-11 10:00:00,25769.25
2019-03-11 11:00:00,0.0
2019-03-11 12:00:00,26755.25
2019-03-11 13:00:00,0.0
2019-03-11 14:00:00,26008.25
2019-03-11 15:00:00,0.0
2019-03-11 16:00:00,24845.25
2019-03-11 17:00:00,0.0
2019-03-11 18:00:00,22865.0
2019-03-11 19:00:00,0.0
2019-03-11 20:00:00,20779.0
2019-03-11 21:00:00,0.0
2019-03-11 22:00:00,17822.75
2019-03-11 23:00:00,0.0
2019-03-12 00:00:00,15463.5
2019-03-12 01:00:00,0.0
2019-03-12 02:00:00,13495.25
2019-03-12 03:00:00,0.0
2019-03-12 04:00:00,13240.75
2019-03-12 05:00:00,0.0
2019-03-12 06:00:00,15763.75
2019-03-12 07:00:00,0.0
2019-03-12 08:00:00,16863.5
2019-03-12 09:00:00,0.0
2019-03-12 10:00:00,20279.5
2019-03-12 11:00:00,0.0
2019-03-12 12:00:00,25088.75
2019-03-12 13:00:00,0.0
2019-03-12 14:00:00,28871.0
2019-03-12 15:00:00,0.0
2019-03-12 16:00:00,29250.25
2019-03-12 17:00:00,0.0
2019-03-12 18:00:00,31891.75
2019-03-12 19:00:00,0.0
2019-03-12 20:00:00,35822.5
2019-03-12 21:00:00,0.0
2019-03-12 22:00:00,34774.75
2019-03-12 23:00:00,0.0
2019-03-13 00:00:00,33523.75
2019-03-13 01:00:00,0.0
2019-03-13 02:00:00,32447.5
2019-03-13 03:00:00,0.0
2019-03-13 04:00:00,32970.25
2019-03-13 05:00:00,0.0
2019-03-13 06:00:00,34179.0
2019-03-13 07:00:00,0.0
2019-03-13 08:00:00,36426.5
2019-03-13 09:00:00,0.0
2019-03-13 10:00:00,37103.0
2019-03-13 11:00:00,0.0
2019-03-13 12:00:00,37313.25
2019-03-13 13:00:00,0.0
2019-03-13 14:00:00,38039.25
2019-03-13 15:00:00,0.0
2019-03-13 16:00:00,36337.0
2019-03-13 17:00:00,0.0
2019-03-13 18:00:00,36057.0
2019-03-13 19:00:00,0.0
2019-03-13 20:00:00,36035.0
2019-03-13 21:00:00,0.0
2019-03-13 22:00:00,33817.0
2019-03-13 23:00:00,0.0
2019-03-14 00:00:00,32444.5
2019-03-14 01:00:00,0.0
2019-03-14 02:00:00,29955.75
2019-03-14 03:00:00,0.0
2019-03-14 04:00:00,28889.75
2019-03-14 05:00:00,0.0
2019-03-14 06:00:00,28855.75
2019-03-14 07:00:00,0.0
2019-03-14 08:00:00,29615.0
2019-03-14 09:00:00,0.0
2019-03-14 10:00:00,32829.25
2019-03-14 11:00:00,0.0
2019-03-14 12:00:00,34174.75
2019-03-14 13:00:00,0.0
2019-03-14 14:00:00,34283.5
2019-03-14 15:00:00,0.0
2019-03-14 16:00:00,33078.0
2019-03-14 17:00:00,0.0
2019-03-14 18:00:00,33829.75
2019-03-14 19:00:00,0.0
2019-03-14 20:00:00,32465.5
2019-03-14 21:00:00,0.0
2019-03-14 22:00:00,32378.25
2019-03-14 23:00:00,0.0
2019-03-15 00:00:00,32570.25
2019-03-15 01:00:00,0.0
2019-03-15 02:00:00,31234.25
2019-03-15 03:00:00,0.0
2019-03-15 04:00:00,28625.5
2019-03-15 05:00:00,0.0
2019-03-15 06:00:00,26239.0
2019-03-15 07:00:00,0.0
2019-03-15 08:00:00,24640.25
2019-03-15 09:00:00,0.0
2019-03-15 10:00:00,27081.75
2019-03-15 11:00:00,0.0
2019-03-15 12:00:00,33063.25
2019-03-15 13:00:00,0.0
2019-03-15 14:00:00,37082.5
2019-03-15 15:00:00,0.0
2019-03-15 16:00:00,38807.0
2019-03-15 17:00:00,0.0
2019-03-15 18:00:00,39560.25
2019-03-15 19:00:00,0.0
2019-03-15 20:00:00,39051.5
2019-03-15 21:00:00,0.0
2019-03-15 22:00:00,36282.75
2019-03-15 23:00:00,0.0
2019-03-16 00:00:00,35055.5
2019-03-16 01:00:00,0.0
2019-03-16 02:00:00,32395.25
2019-03-16 03:00:00,0.0
2019-03-16 04:00:00,27789.0
2019-03-16 05:00:00,0.0
2019-03-16 06:00:00,23750.75
2019-03-16 07:00:00,0.0
2019-03-16 08:00:00,21609.25
2019-03-16 09:00:00,0.0
2019-03-16 10:00:00,23086.75
2019-03-16 11:00:00,0.0
2019-03-16 12:00:00,23852.0
2019-03-16 13:00:00,0.0
2019-03-16 14:00:00,25735.75
2019-03-16 15:00:00,0.0
2019-03-16 16:00:00,28857.75
2019-03-16 17:00:00,0.0
2019-03-16 18:00:00,30581.5
2019-03-16 19:00:00,0.0
2019-03-16 20:00:00,31520.5
2019-03-16 21:00:00,0.0
2019-03-16 22:00:00,31317.0
2019-03-16 23:00:00,0.0
2019-03-17 00:00:00,30058.25
2019-03-17 01:00:00,0.0
2019-03-17 02:00:00,28728.25
2019-03-17 03:00:00,0.0
2019-03-17 04:00:00,29018.75
2019-03-17 05:00:00,0.0
2019-03-17 06:00:00,29924.0
2019-03-17 07:00:00,0.0
2019-03-17 08:00:00,28985.75
2019-03-17 09:00:00,0.0
2019-03-17 10:00:00,29004.0
